# A2    Country name

AU      Австралия (OSM)
AT      Австрия (OSM)
AZ      Азербайджан (OSM)
AX      Аландские острова (OSM)
AL      Албания (OSM)
DZ      Алжир (OSM)
UM      Внешние малые острова (США) (OSM)
VI      Американские Виргинские острова (OSM)
AS      Американское Самоа (OSM)
AI      Ангилья (OSM)
AO      Ангола (OSM)
AD      Андорра (OSM)
AQ      Антарктида (OSM)
AG      Антигуа и Барбуда (OSM)
AR      Аргентина (OSM)
AM      Армения (OSM)
AW      Аруба (OSM)
AF      Афганистан (OSM)
BS      Багамы (OSM)
BD      Бангладеш (OSM)
BB      Барбадос (OSM)
BH      Бахрейн (OSM)
BZ      Белиз (OSM)
BY      Беларусь (OSM)
BE      Бельгия (OSM)
BJ      Бенин (OSM)
BM      Бермуды (OSM)
BG      Болгария (OSM)
BO      Боливия (OSM)
BA      Босния и Герцеговина (OSM)
BW      Ботсвана (OSM)
BR      Бразилия (OSM)
IO      Британская территория в Индийском океане (OSM)
VG      Британские Виргинские острова (OSM)
BN      Бруней (OSM)
BF      Буркина Фасо (OSM)
BI      Бурунди (OSM)
BT      Бутан (OSM)
VU      Вануату (OSM)
VA      Ватикан (OSM)
GB      Великобритания (OSM)
HU      Венгрия (OSM)
VE      Венесуэла (OSM)
TL      Восточный Тимор (OSM)
VN      Вьетнам (OSM)
GA      Габон (OSM)
HT      Гаити (OSM)
GY      Гайана (OSM)
GM      Гамбия (OSM)
GH      Гана (OSM)
GP      Гваделупа (OSM)
GT      Гватемала (OSM)
GN      Гвинея (OSM)
GW      Гвинея-Бисау (OSM)
DE      Германия (OSM)
GI      Гибралтар (OSM)
HN      Гондурас (OSM)
HK      Гонконг (OSM)
GD      Гренада (OSM)
GL      Гренландия (OSM)
GR      Греция (OSM)
GE      Грузия (OSM)
GU      Гуам (OSM)
DK      Дания (OSM)
CD      ДР Конго (OSM)
DJ      Джибути (OSM)
DM      Доминика (OSM)
DO      Доминиканская Республика (OSM)
EU      Европейский союз (OSM)
EG      Египет (OSM)
ZM      Замбия (OSM)
